com.tencent.mm	微信
com.tencent.mobileqq	QQ
com.ss.android.ugc.aweme	抖音短视频
com.baidu.searchbox	百度
com.smile.gifmaker	快手
com.tencent.tmgp.sgame	王者荣耀
com.baidu.homework	作业帮-学生搜题利器
com.tencent.tmgp.pubgmhd	和平精英
com.netease.cloudmusic	网易云音乐
com.qiyi.video	爱奇艺
com.tencent.qqmusic	QQ音乐
com.kugou.android	酷狗音乐
com.tencent.qqlive	腾讯视频
tv.danmaku.bili	哔哩哔哩
com.taobao.taobao	手机淘宝
com.tencent.mtt	QQ浏览器-便捷管理手机文件
com.xunmeng.pinduoduo	拼多多
com.ss.android.article.video	西瓜视频
com.ss.android.article.news	今日头条
com.ximalaya.ting.android	喜马拉雅
com.sina.weibo	新浪微博
com.A17zuoye.mobile.homework	一起小学学生
com.baidu.netdisk	百度网盘
com.autonavi.minimap	高德地图
com.youku.phone	优酷视频
com.youdao.dict	网易有道词典-英语学习翻译
com.fenbi.android.solar	小猿搜题
com.zhihu.android	知乎
com.jiongji.andriod.card	百词斩
com.tencent.karaoke	全民K歌
com.kuaiduizuoye.scan	快对作业
com.xueersi.parentsmeeting	学而思网校
com.kmxs.reader	七猫免费小说
com.tencent.tmgp.cf	穿越火线-枪战王者（国民枪战手游）
com.skyplatanus.crucio	快点
com.ss.android.ugc.live	抖音火山版(原火山小视频)
cn.kuwo.player	酷我音乐
com.tencent.KiHan	火影忍者
com.jifen.qukan	趣头条
com.kuaikan.comic	快看漫画
com.baidu.BaiduMap	百度地图
com.baidu.haokan	好看视频
com.mallestudio.gugu.app	触漫
com.tencent.tmgp.speedmobile	QQ飞车手游
com.ztgame.bob	球球大作战
com.tencent.news	腾讯新闻-打开眼界
com.jingdong.app.mall	京东
com.mt.mtxx.mtxx	美图秀秀
com.duokan.reader	多看阅读
com.plan.kot32.tomatotime	番茄ToDo
com.sencent.mm	名人朋友圈
cn.xuexi.android	学习强国
com.huiian.timing	Timing
com.youdao.translator	有道翻译官
com.kingsoft	金山词霸
com.xingin.xhs	小红书
com.baidu.baidutranslate	百度翻译（语音翻译）
com.yuantiku.tutor	猿辅导
com.mewe.wolf	饭局狼人
com.jzzs.ParentsHelper	安全教育平台
com.jinxin.namibox	纳米盒
com.jm.video	刷宝
com.meitu.meipaimv	美拍
com.qqgame.hlddz	欢乐斗地主（腾讯）
com.yangcong345.android.phone	洋葱学院（原洋葱数学）
com.lofter.android	LOFTER
com.lemon.faceu	Faceu激萌
com.liulishuo.engzo	流利说-英语
com.banciyuan.bcywebview	半次元
com.tencent.weread	微信读书
org.xinkb.blackboard.android	晓黑板
com.ks.kaishustory	凯叔讲故事
net.huanci.hsj	画世界
com.duwo.reading	伴鱼绘本
com.campmobile.snowcamera	B612咔叽
com.haowan.huabar	画吧
com.gorgeous.lite	轻颜相机
zwzt.fangqiu.edu.com.zwzt	纸条
com.hypergryph.arknights	明日方舟
com.taobao.idlefish	闲鱼
cn.xiaochuankeji.tieba	最右
com.iflytek.elpmobile.smartlearning	智学网
com.happyteam.dubbingshow	配音秀
com.haojiazhang.activity	小学宝
com.knowbox.rc.student	小盒学生
com.duowan.kiwi	虎牙直播
cn.cntv	央视影音
com.tencent.qqlivekid	小企鹅乐园
com.gaotu100.superclass	高途课堂
com.mobike.mobikeapp	摩拜单车
com.xiaoenai.app	小恩爱
com.sinovatech.unicom.ui	联通手机营业厅(官方版)
com.kekeclient_	可可英语
fm.xiami.main	虾米音乐
com.ishowedu.peiyin	英语趣配音
com.yibasan.lizhifm	荔枝
com.mistong.ewt360	升学e网通
com.sdu.didi.psnger	滴滴出行
com.qidian.QDReader	起点读书
com.ekwing.students	翼课学生
com.hunantv.imgo.activity	芒果TV
com.ygkj.chelaile.standard	车来了-精准实时公交
fm.qingting.qtradio	蜻蜓FM
com.tencent.wework	企业微信
com.join.android.app.mgsim.wufun	悟饭游戏厅
com.gotokeep.keep	Keep
com.baidu.tieba	百度贴吧
com.wuba	58同城 -租房招聘兼职二手车
com.chaozh.iReaderFree	掌阅
com.jingyao.easybike	哈啰出行
com.hongen.app.word	洪恩识字
com.shizhuang.duapp	得物(毒)
com.student.yuwen.yimilan	一米阅读
me.ele	饿了么
com.sinyee.babybus.talk2kiki	宝宝巴士奇妙屋
com.videogo	萤石云视频
com.fenbi.android.leo	小猿口算
com.qq.reader	QQ阅读-小说漫画电子书阅读器
com.mygolbs.mybus	掌上出行
com.moji.mjweather	墨迹天气
com.hupu.shihuo	识货
cmccwm.mobilemusic	咪咕音乐
com.qq.ac.android	腾讯动漫
com.tencent.qqgame.xq	天天象棋
com.dedao.juvenile	少年得到
com.mengtuiapp.mall	萌推
com.foundersc.app.xf	小方客户端
bubei.tingshu	懒人听书FM-电台小说收音机
com.meitu.meiyancamera	BeautyCam美颜相机
com.hpbr.bosszhipin	Boss直聘
com.kingpoint.gmcchh	广东移动手机营业厅
com.sinyee.babybus.recommendapp	宝宝巴士
com.duitang.main	堆糖
com.benqu.wuta	无他相机
com.tencent.ttpic	天天P图
com.baicizhan.ireading	百词斩爱阅读
com.qb.qtranslator	腾讯翻译君
com.duoduo.child.story	儿歌多多
com.sfacg	菠萝包轻小说
com.taobao.mobile.dipei	口碑
cn.com.langeasy.LangEasyLexis	不背单词
com.xiaobanlong.main	小伴龙
com.tencent.weishi	微视-短视频创作与分享
com.netease.vopen	网易公开课
com.tencent.androidqqmail	QQ邮箱
com.greenpoint.android.mc10086.activity	中国移动
cn.paperang.mm	喵喵机
com.shoujiduoduo.ringtone	铃声多多
com.cmcc.cmvideo	咪咕视频
com.jjwxc.reader	晋江小说阅读
com.cubic.autohome	汽车之家
com.genshuixue.student	跟谁学
com.ishowedu.child.peiyin	少儿趣配音
com.bokecc.dance	糖豆
cn.kuwo.tingshu	酷我畅听
com.shanbay.sentence	扇贝单词英语版
com.maimemo.android.momo	墨墨背单词
com.yw.kidsongs	儿歌千千
com.chinamworld.main	中国建设银行
com.pengda.mobile.hhjz	叨叨记账
com.sainti.eduread	出口成章
com.zhongduomei.rrmj.society	人人视频
com.mampod.ergedd	儿歌点点
com.kwai.videoeditor	快影
com.achievo.vipshop	唯品会
air.tv.douyu.android	斗鱼直播
cn.ninegame.gamemanager	九游
com.songheng.eastnews	东方头条
cn.xckj.talk_junior	伴鱼少儿英语
com.qihoo.qeditor	快剪辑
com.hujiang.hjclass	沪江网校
tv.yixia.bobo	波波视频
com.tencent.map	腾讯地图
com.MobileTicket	铁路12306
com.bluedancer.bluedancer	蓝舞者
com.xfanread.xfanread	樊登小读者
com.didapinche.booking	嘀嗒出行
com.ushaqi.zhuishushenqi	追书神器
com.lingan.seeyou	美柚-大姨妈月经期助手
ai.zuoye.app	爱作业
com.qingclass.jgdc	极光单词
com.vanthink.student	在线助教学生
com.taobao.trip	飞猪
com.ophone.reader.ui	咪咕阅读
com.wuba.zhuanzhuan	转转
cn.jj	JJ斗地主
com.xiaohaizi.ui	小孩子点读
com.zebra.ichess	国象联盟
com.zmlearn.course.am	掌门1对1辅导
enfc.metro	亿通行
com.android.dazhihui	大智慧
com.netease.uu	网易UU加速器
ctrip.android.view	携程旅行迪士尼酒店机票火车票旅游门票攻略团购
com.ct.client	电信营业厅
com.physicmaster	物理大师
com.tencent.k12	腾讯企鹅辅导
com.vmall.client	华为商城
com.tencent.firevideo	火锅视频
com.dreamtd.kjshenqi	激萌猫咪桌面宠物
com.shinyv.cnr	云听
com.chinamworld.bocmbci	中国银行手机银行
com.tencent.qqpinyin	QQ输入法
com.color.by.number.paint.ly.pixel.art.cn	Paint.ly
com.sohu.sohuvideo	搜狐视频-电影电视剧美剧影音视频播放器
com.yunshuxie.main	云舒写
com.gh.gamecenter	光环助手
com.lexue100	乐学一百
com.ifeng.news2	凤凰新闻
com.baidu.wenku	百度文库
com.pplive.androidphone	PP视频（原聚力视频）
com.netease.cc	CC直播
cn.etouch.ecalendar	中华万年历
com.yuewen.authorapp	作家助手
com.tencent.qgame	企鹅电竞
com.xiachufang	下厨房
com.youdao.reciteword	有道背单词
com.hexin.plat.android	同花顺手机炒股股票软件
com.eusoft.eudic	欧路词典
com.hfjy.LearningCenter	海风智学中心
com.douban.frodo	豆瓣
com.newcapec.mobile.ncp	完美校园
