com.tencent.tmgp.cf	穿越火线
com.tencent.tmgp.supercell.clashofclans	部落冲突
com.huawei.gamebox	华为游戏中心
com.tencent.KiHan	火影忍者
com.tencent.tmgp.minitech.miniworld	迷你世界
com.tencent.tmgp.wdsj666	我的世界
com.outfit7.talkingtomgoldrun.mi	汤姆猫跑酷
com.chinamworld.main	中国建设银行
com.chinamworld.bocmbci	中国银行手机银行
com.android.bankabc	农行掌上银行
com.cib.cibmb	兴业银行
com.bankcomm.Bankcomm	交通银行
com.yitong.mbank.psbc	邮储银行
com.kuaikan.comic	快看漫画
com.xiachufang	下厨房
com.lingan.seeyou	美柚
com.jiongji.andriod.card	百词斩
com.baidu.lbs.waimai	百度外卖
com.tmri.app.main	交管12123
com.handsgo.jiakao.android	驾考宝典
com.yiche.price	汽车报价大全
com.pingan.carowner	平安好车主
com.ss.android.auto	懂车帝
com.icbc.im	工银融e联
com.cmbchina.ccd.pluto.cmbActivity	掌上生活
com.pingan.lifeinsurance	平安金管家
com.jd.jrapp	京东金融
com.taobao.trip	飞猪旅行
com.yipiao	智行火车票
cn.etouch.ecalendar	中华万年历
com.fenbi.android.solar	小猿搜题
com.xiaobanlong.main	小伴龙
com.youdao.translator	有道翻译官
com.meitu.meiyancamera	美颜相机
com.tencent.ttpic	天天P图
com.gotokeep.keep	Keep
com.komoxo.octopusime	章鱼输入法
com.tencent.qqpim	QQ同步助手
com.p1.mobile.putong	探探
com.xiaomi.smarthome	米家
com.tencent.tmgp.speedmobile	QQ飞车
com.tencent.tmgp.pvz2hdtxyyb	植物大战僵尸2
com.tongcheng.android	同程旅游
cn.wps.moffice_eng	WPS office
com.tencent.weishi	微视
