com.chinasofti.rcs	fetion
com.tencent.mobileqq	qq
com.tencent.mm	weixin
com.immomo.momo	momo
im.yixin	yixin
com.alibaba.android.rimet	dingding
com.xiaoenai.app	xiaoenai
com.liaoliao.android	liaoliao
cn.soulapp.android	soul
com.tencent.wework	qiyeweixin
com.zenmen.palmchat	lianxin
com.tencent.tim	tim
com.Tiange.ChatRoom	9158meinvzhibo
us.zoom.videomeetings	zoom
com.ophone.reader.ui	heyuedu
com.qidian.QDReader	qidianzhongwen
com.nd.android.pandareader	panda.book
com.qq.reader	qq.read
com.zongheng.reader	zonghengxiaoshuo
com.chaozh.iReaderFree	iReader
com.jjwxc.reader	jinjiangwenxuecheng
com.xxsyread	xiaoxiangshuyuan
com.hongxiu.app	hongxiutianxiang
com.esbook.reader	yisouxiaoshuo
com.netease.pris	163yunyuedu
com.shuqi.controller	shuqixiaoshuo
com.duokan.reader	duokanyuedu
com.baidu.yuedu	baiduyuedu
qsbk.app	qiushibaike
com.ushaqi.zhuishushenqi	zhuishushenqi
com.lectek.android.sfreader	tianyiyuedu
com.unicom.zworeader.ui	woyuedu
com.sogou.novel	sougouyuedu
com.itangyuan	tangyuanchuangzuo
com.wifi.reader	lianshangdushu
com.tencent.weread	weixindushu
com.comic.shenmanhua	shenmanhua
com.skyplatanus.crucio	kuaidianyuedu
com.smartisan.reader	chuiziyuedu
com.cnki.client	shoujizhiwang
net.csdn.csdnplus	csdn
com.faloo.BookReader4Android	feiluxiaoshuo
com.student.yuwen.yimilan	yimiyuedu
com.dz.mfxsqj	mianfeixiaoshuoquanji
com.martian.ttbook	taoxiaoshuo
com.fengwo.reading	youshu
cc.quanbennovel	quanbenmianfeikuaiduxiaoshuo
cc.kdqbxs.reader	mianfeiquanbenxiaoshuoshucheng
com.btime.bjtime	beijingshijian
com.cheersedu.app	zhanluyuedu
com.myxianwen.nanguozaobao	nanguozaobao
com.bookuu.bookuulibrary	bokutushuguan
com.cliff	cangshuguan
com.tataera.rtxtbook	quanbenmianfeidianzixiaoshuo
cn.com.weilaihui3	weilai
com.duokan.freereader	miyuexiaoshuo
com.hustzp.com.xichuangzhu	xichuangzhu
cn.com.enorth.jinyun	jinyun
com.ailian.hope	hope
com.lechuan.midunovel	miduxiaoshuo
com.sfacg	boluobaoqingxiaoshuo
net.xinhuamm.mainclient	xinhuashe
com.nfdaily.nfplus	nanfangplus
com.jiemian.news	jiemianxinwen
com.hisunflytone.android	miguquanquan
cn.memobird.app	memobirdguguji
