com.chinasofti.rcs	和飞信
com.tencent.mobileqq	QQ
com.alibaba.mobileim	旺信
com.xiaomi.channel	米聊
com.tencent.mm	微信
com.renren.mobile.android	人人
com.immomo.momo	陌陌
com.alibaba.android.rimet	钉钉
com.tencent.wework	企业微信
com.ophone.reader.ui	咪咕阅读
com.qidian.QDReader	起点读书
com.nd.android.pandareader	熊猫看书
com.qq.reader	QQ阅读
com.chaozh.iReaderFree	掌阅iReader
com.netease.pris	网易云阅读
qsbk.app	糗事百科
com.ushaqi.zhuishushenqi	追书神器
com.sina.weibo	新浪微博
com.zhenai.android	珍爱网
com.qzone	qq空间
com.jiayuan	世纪佳缘
com.douban.frodo	豆瓣
com.baidu.tieba	百度贴吧
com.autonavi.cmccmap	和地图
com.baidu.BaiduMap	百度地图
com.sogou.map.android.maps	搜狗地图
com.tencent.map	腾讯地图
com.autonavi.minimap	高德地图
com.cmcc.cmvideo	咪咕视频
com.youku.phone	优酷视频
com.tudou.android	土豆视频
com.tencent.qqlive	腾讯视频
com.sohu.sohuvideo	搜狐视频
com.letv.android.client	乐视视频
com.hunantv.imgo.activity	芒果TV
com.qiyi.video	爱奇艺视频
com.baidu.video	百度视频
tv.danmaku.bili	哔哩哔哩动画
com.yixia.videoeditor	秒拍
cmccwm.mobilemusic	咪咕音乐
com.tencent.qqmusic	QQ音乐
cn.kuwo.player	酷我音乐
	百度音乐
com.djbox.product	DJ音乐盒
fm.xiami.main	虾米音乐
com.kugou.android	酷狗音乐
com.changba	唱吧
com.netease.cloudmusic	网易云音乐
com.tencent.karaoke	全民K歌
com.aspire.mm	MM商场
com.hiapk.marketpho	安卓市场
	AppStore
com.wandoujia.phoenix2	豌豆荚
com.tencent.android.qqdownloader	应用宝
com.qihoo.appstore	360手机助手
com.pp.assistant	PP助手
	咪咕游戏
com.tencent.WeFire	全民突击
com.happyelements.AndroidAnimal	开心消消乐
com.tencent.qqgame	QQ游戏
com.cmcc.hebao	和包
com.eg.android.AlipayGphone	支付宝
cmb.pb	招商银行
com.bill99.kuaiqian	快钱
	咪咕动漫
com.example.sth0409.cartoon	爱漫画
com.itcode.reader	漫漫漫画
com.u17.comic.phone	有妖气漫画
com.qq.ac.android	腾讯动漫
com.android.comicsisland.activity	漫画岛
cn.cj.pe	139邮箱
com.netease.mobimail	网易邮箱
com.sina.mail	新浪邮箱
com.tencent.androidqqmail	QQ邮箱
com.xunlei.downloadprovider	迅雷
com.xunlei.kankan	天天看看
	BitTorrent
com.xiaonanjiao.pmule	veryCD电驴大全
com.pplive.androidphone	PP视频
tv.pps.mobile	爱奇艺PPS
com.duowan.mobile	手机YY
	有信电话
com.kcwangluo	KC网络电话
	冲浪导航
	手机百度
com.dianping.v1	大众点评
	腾讯网
com.wuba	58同城
com.sofang.net.buz	搜房网
com.anjuke.android.app	安居客
cn.com.pcauto.android.browser	太平洋汽车网
com.sohu.newsclient	搜狐新闻
com.tencent.news	腾讯新闻
com.netease.newsreader.activity	网易新闻
com.babytree.apps.pregnancy	宝宝树孕育
com.wondertek.paper	澎湃新闻
com.zol.android	中关村在线
com.chinahr.android.m	中华英才网
com.job.android	前程无忧51job
com.zhaopin.social	智联招聘
com.sogou.activity.src	搜狗搜索
com.mogujie	蘑菇街
com.ganji.android	赶集网
com.cubic.autohome	汽车之家
com.zhihu.android	知乎
com.fanli.android.apps	返利网
com.douguo.recipe	豆果美食
com.infzm.ireader	南方周末
com.ss.android.article.news	今日头条
com.hupu.games	虎扑
com.baidu.wenku	百度文库
me.ele	饿了么
com.huanqiu.news	环球时报
com.ziipin.homeinn	掌上如家
cn.crionline.www.chinanews	中国新闻网
cn.cntvnews	央视新闻
com.womai	我买网
com.baidu.iknow	百度知道
com.baidu.baike	百度百科
com.baidu.news	百度新闻
cn.com.sina.sports	新浪体育
com.meitu.meipaimv	美拍
com.qihoo.haosou	360搜索
com.koudai.weidian.buyer	微店
com.chuanke.ikk	百度传课
com.greenline.guahao	微医
com.sankuai.meituan.takeoutnew	美团外卖
com.peopledailychina.activity	人民日报
com.cmvideo.migumovie	咪咕影院
com.UCMobile	UC头条
com.hexin.plat.android	同花顺
com.android.dazhihui	大智慧
	金太阳
cn.opda.a.phonoalbumshoushou	百度手机卫士
com.tencent.qqpimsecure	腾讯手机管家
com.taobao.taobao	淘宝
com.jingdong.app.mall	京东
cn.amazon.mShop.android	亚马逊购物
thestore.main,yhdandroid	1号店
com.dangdang.buy2	当当
com.sankuai.meituan	美团
com.taobao.ju.android	聚划算
com.gome.eshopnew	国美在线
com.nuomi	百度糯米
com.suning.mobile.ebuy	苏宁易购
com.tmall.wireless	天猫
com.achievo.vipshop	唯品会
com.tuan800.tao800	折800
com.xiaomi.shop	小米商城
com.xunmeng.pinduoduo	拼多多
com.taobao.idlefish	闲鱼
com.wuba.zhuanzhuan	转转
cn.missfresh.application	每日优鲜
com.jingdong.pdj	京东到家
com.wudaokou.hippo	盒马
com.ymatou.shop	洋码头
ctrip.android.view	携程旅行
com.Qunar	去哪儿旅行
com.tuniu.app.ui	途牛旅游
com.MobileTicket	铁路12306
com.sdu.didi.psnger	滴滴出行
com.mobike.mobikeapp	摩拜单车
com.baidu.netdisk	百度网盘
com.chinamobile.mcloud	和彩云
com.youdao.note	有道云笔记
com.cmcc.migutvtwo	咪咕直播
air.tv.douyu.android	斗鱼直播
com.duowan.kiwi	虎牙直播
com.ss.android.article.video	西瓜视频
com.greenpoint.android.mc10086.activity	移动掌上营业厅
com.chinamobile.contacts.im	和通讯录
com.moji.mjweather	墨迹天气
com.youdao.dict	有道词典
com.baidu.baidutranslate	百度翻译
com.sohu.inputmethod.sogou	搜狗输入法
com.baidu.input	百度输入法
com.iflytek.inputmethod	讯飞输入法
com.tencent.qqpinyin	QQ输入法
com.mt.mtxx.mtxx	美图秀秀
com.snda.wifilocating	WiFI万能钥匙
com.iflytek.cmcc	咪咕灵犀
com.imohoo.shanpao	咪咕善跑
com.cmcc.numberportable	和多号
com.whty.wicity.china	和生活
com.cainiao.wireless	菜鸟裹裹
com.taobao.mobile.dipei	口碑
com.shinemo.qoffice.zjcc	移动彩云
cn.xuexi.android	学习强国
com.baidu.haokan	好看视频
com.kaola	考拉海购
me.papa	啪啪音乐圈
com.esbook.reader	宜搜小说
com.shuqi.controller	书旗小说
com.iyd.reader.ReadingJoy	爱阅读
com.tencent.WBlog	腾讯微博
com.google.android.apps.maps	谷歌地图
com.autonavi.minimap	高德导航
com.apple.maps	苹果地图
com.youku.phone	优酷
com.smile.gifmaker	快手
com.panda.videoliveplatform	熊猫TV
com.ss.android.ugc.aweme	抖音
com.ss.android.ugc.live	火山小视频
com.yitingyinyue.android	一听音乐
com.jiuku	九酷音乐
bubei.tingshu	懒人听书
