微信	weixin
QQ	qq
抖音短视频	douyin
百度	baidu.other
快手	gifkuaishou
王者荣耀	wangzherongyao
作业帮	zuoyebang
和平精英	hepingjingying
网易云音乐	163yunyinyue
爱奇艺	aiqiyi
QQ音乐	qqyinyue
酷狗音乐	kugouyinyue
腾讯视频	qq.video
哔哩哔哩	bilibili
手机淘宝	taobao
QQ浏览器	qq.browser
拼多多	pinduoduo
西瓜视频	xiguashipin
我的世界	wodeshijie
今日头条	jinritoutiao
喜马拉雅	ximalayating
新浪微博	sina.weibo
一起小学学生	yiqixiaoxuexuesheng
百度网盘	baiduwangpan
高德地图	amap
优酷视频	youku
网易有道词典	youdaocidian
小猿搜题	xiaoyuansouti
知乎	zhihu
百词斩	baicizhan
全民K歌	quanminkge
快对作业	kuaiduizuoye
学而思网校	xueersiwangxiao
七猫免费小说	qimaomianfeixiaoshuo
穿越火线-枪战王者	chuanyuehuoxian
快点	kuaidianyuedu
抖音火山版	huoshanxiaoshipin
酷我音乐	kuwo.music
火影忍者	huoyingrenzhe
趣头条	qutoutiao
快看漫画	kuaikanmanhua
百度地图	baiduditu
好看视频	haokanshipin
触漫	chuman
QQ飞车手游	qq.feiche
球球大作战	battleofballs
迷你世界	wodeshijieminitech
腾讯新闻	qqxinwen
京东	jingdong
美图秀秀	meituxiuxiu
多看阅读	duokanyuedu
番茄ToDo	fanqietodo
名人朋友圈	mingrenpengyouquan
学习强国	xuexiqiangguo
Timing	timing
有道翻译官	youdaofanyiguan
金山词霸	jinshanciba
小红书	xiaohongshuhaiwaigouwushenqi
百度翻译	baidufanyi
猿辅导	yuanfudao
饭局狼人	fanjulangrensha
安全教育平台	anquanjiaoyupingtai
纳米盒	namihe
刷宝	shuabao2
美拍	meipai
欢乐斗地主	huanledoudizhu
洋葱学院	yangcongshuxue
LOFTER	lofter
流利说-英语	yingyuliulishuo
半次元	banciyuan
微信读书	weixindushu
晓黑板	xiaoheiban
凯叔讲故事	kaishujianggushi
画世界	huashijie
伴鱼绘本	banyuhuiben
B612咔叽	b612kaji
画吧	huaba
轻颜相机	qingyanxiangji
纸条	zuowenzhitiao
皮皮蟹	pipixie
明日方舟	mingrifangzhou
闲鱼	xianyu
最右	zuiyou
智学网	zhixuewang
配音秀	peiyinxiu
小学宝	xiaoxuebao
小盒学生	xiaohexuesheng
虎牙直播	huyazhibo
央视影音	cntv
小企鹅乐园	xiaoqieleyuan
高途课堂	gaotuketang
摩拜单车	mobike
小恩爱	xiaoenai
联通手机营业厅	liantongyingyeting
可可英语	kekeyingyu
虾米音乐	xiamiyinyue
英语趣配音	yingyuqupeiyin
荔枝	lizhifm
升学e网通	shengxueewangtong
滴滴出行	didichuxing
起点读书	qidianzhongwen
翼课学生	yikexuesheng
芒果TV	mangguoTV
车来了	chelaile
蜻蜓FM	qingtingfm
企业微信	qiyeweixin
悟饭游戏厅	wufanyouxiting
Keep	keep
百度贴吧	baidutieba
58同城	58tongcheng
掌阅	iReader
哈啰出行	haloudanche
洪恩识字	hongenshizi
得物(毒)	du
一米阅读	yimiyuedu
饿了么	eleme
萤石云视频	yingshiyunshipin
小猿口算	xiaoyuankousuan
QQ阅读	qq.read
皮皮搞笑	pipigaoxiao
陀螺世界	tuoluoshijie
漫画台	manhuatai
掌上出行	wuxianchengshizhangshanggongjiao
墨迹天气	mojitianqi
识货	shihuo
咪咕音乐	miguyinyue
腾讯动漫	tengxundongman
天天象棋	tiantianxiangqi
少年得到	shaoniandedao
萌推	mengtui
小方客户端	xiaofangkehuduan
懒人听书FM	lanrentingshu
BeautyCam美颜相机	meiyanxiangji
Boss直聘	bosszhipin
广东移动手机营业厅	guangdongyidongshoujiyingyeting
宝宝巴士	baobaobashi
堆糖	duitang
无他相机	wutaxiangji
天天P图	tiantianptu
百词斩爱阅读	baicizhanaiyuedu
腾讯翻译君	tengxunfanyijun
儿歌多多	ergeduoduo
菠萝包轻小说	boluobaoqingxiaoshuo
口碑	koubei
不背单词	bubeidanci
小伴龙	xiaobanlong
微视	weishi
网易公开课	163gongkaike
QQ邮箱	qq.mail
中国移动	zhongguoyidong
喵喵机	miaomiaoji
铃声多多	lingshengduoduo
咪咕视频	he.video
晋江小说阅读	jinjiangwenxuecheng
汽车之家	autohome
跟谁学	genshuixue
少儿趣配音	shaoerqupeiyin
糖豆	tangdouguangchangwu
酷我畅听	kuwotingshufm
扇贝单词英语版	shanbeidanci
墨墨背单词	momobeidanci
儿歌千千	ergeqianqian
中国建设银行	ccb
叨叨记账	daodaojizhang
出口成章	chukouchengzhang
人人视频	renrenshipin
儿歌点点	ergediandian
快影	kuaiying
ABCReading	abctime
唯品会	vipshop
懂球帝	dongqiudi
斗鱼直播	douyutv
九游	jiuyou
东方头条	dongfangtoutiao
伴鱼少儿英语	banyushaoeryingyu
快剪辑	kuaijianji
沪江网校	hujiangwangxiao
波波视频	boboshipin
学习通	xuexitong
腾讯地图	qqditu
铁路12306	12306
蓝舞者	lanwuzhe
樊登小读者	fandengxiaoduzhe
嘀嗒出行	didapinche
追书神器	zhuishushenqi
美柚	meiyou
爱作业	aizuoye
极光单词	jiguangdanci
在线助教学生	zaixianzhujiaoxuesheng
飞猪	feizhu
咪咕阅读	heyuedu
转转	zhuanzhuan
JJ斗地主	JJdoudezhu
小孩子点读	xiaohaizidiandu
国象联盟	guoxianglianmeng
好爸妈点读	haobamadiandu
掌门1对1辅导	zhangmen1dui1fudao
亿通行	yitongxing
大智慧	dazhihui
网易UU加速器	wangyiuujiasuqi
携程旅行	xiechenglvxing
电信营业厅	dianxinyingyeting
物理大师	wulidashiyichuzhongban
腾讯企鹅辅导	qiefudao
华为商城	huaweishangcheng
火锅视频	yooshipin
激萌猫咪桌面宠物	jimengmaomizhuomianchongwu
云听	zhongguoguangbo
中国银行手机银行	chinabank
QQ输入法	qqshurufa
Paint.ly	paintly
搜狐视频	sohu.video
云舒写	jingdiandaodu
光环助手	guanghuanzhushou
乐学一百	lexueyibai
凤凰新闻	fenghuangxinwen
百度文库	baiduwenku
花生地铁	huashengditie
PP视频	pptv
CC直播	cczhibo
中华万年历	zhonghuawannianli
作家助手	zuojiazhushou
企鹅电竞	qiedianjing
下厨房	xiachufang
有道背单词	youdaobeidanci
优播课	youboke
同花顺	tonghuashun
欧路词典	oulucidian
海风智学中心	haifengzhixuezhongxin
豆瓣	douban
完美校园	wanmeixiaoyuan
酷狗铃声	kugoulingsheng
小米商城	xiaomishangcheng
超级课程表	chaojikechengbiao
万门大学	wanmendaxue
小蚁摄像机	xiaoyishexiangji
星巴克	xingbake
微博士家长端	weiboshixueshengduan
vipjrHD	vipjrhd
爱乐奇	aileqi
KaDa故事	kadagushi
迅游手游加速器	xunyoushouyoujiasuqi
咕咚	gudongyundong
海词词典	haicicidian
向日葵远程控制	xiangrikuiyuanchengkongzhi
韩剧TV	hanjuTV
途虎养车	tuhuyangche
VIPKID英语	vipkidyingyu
漫读小说	manduxiaoshuo
什么值得买	shenmezhidemai
网易新闻	163xinwen
考研帮	kaoyanbang
麦田写字王	maitianxieziwang
多闪	duoshan
爱壁纸	aibizhi
悦跑圈	yuepaoquan
掌通家园	zhangtongjiayuan
92外语	92waiyu
拾柒	shiqi
阿里巴巴	alibaba
CCtalk	cctalk
2345天气预报	2345tianqiyubao
360影视大全	360yingshidaquan
拓词	tuoci
中国医疗人才网	zhongguoyiliaorencaiwang
哔哩哔哩漫画	bilibilimanhua
节奏大师	jiezoudashi
掌上英雄联盟	zhangshangyingxionglianmeng
民生银行手机银行	minshengyinhang
阿凡题	afanti
百词斩词典	baicizhancidian
联掌门户	lianzhangmenhu
百通医学	baitongyixue
西窗烛	xichuangzhu
美术宝	meishubao
河南移动智慧生活	henanyidongyingyeting
爱课程	aikecheng
luckincoffee	luckincoffee
傻瓜英语	shaguayingyu
洋葱OMALL	yangcongomall
壁纸多多	bizhiduoduo
天学网	tianxuewang
掌上学院	zhangshangxueyuan
天气通	tianqitong
大拿	danale
小妖精美化	xiaoyaojingmeihua
百度阅读	baiduyuedu
交通银行	bankcomm
多邻国免费学英语	duolinguo
北京移动手机营业厅	beijingyidongshoujiyingyeting
汉典	handian
一起考教师	yiqikaojiaoshi
新东方多纳	duonaxueyingyu
康强医疗人才网	kangqiangyiliaorencaiwang
汉服荟	hanfuhui
